# Si EXPERIMENTO 1
#I (mA)	Voltage (V)	I (mA)	Voltage (V)
0.3	0.198	0.3	0.195
0.5	0.225	0.6	0.220
0.7	0.252	0.9	0.250
1.4	0.276	1.7	0.275
1.7	0.286	1.8	0.285
1.9	0.292	1.9	0.290
2.5	0.302	2.5	0.304
2.7	0.307	2.9	0.309
3.1	0.314	3.1	0.312
4.1	0.320	4.1	0.330
4.9	0.333	4.9	0.333
6.3	0.345	6.3	0.350
7.1	0.351	7.1	0.355
8.5	0.360	9.6	0.368
9.7	0.365	9.7	0.365
13.1	0.382	13.1	0.370
10.8	0.390	10.8	0.372
14.2	0.385	14.3	0.384
22.4	0.412	22.4	0.415
